Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,..
"Population, total",SP.POP.TOTL,Albania,ALB,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2414095,2377128,..
"Population, total",SP.POP.TOTL,Algeria,DZA,11424922,11628883,11800771,11982118,12179813,12365976,12590069,12876118,13172614,13475960,13783719,14098936,14427072,14771147,15133502,15678596,16409170,17015994,17506974,18036655,18607174,19220704,19872348,20558115,21271969,22008544,22745499,23443624,24109536,24754485,25375810,25987928,26628568,27277048,27887279,28470191,29033044,29579301,30054133,30474354,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,20133,20666,21298,21966,22673,23406,24136,24863,25614,26375,27026,27533,27995,28436,28875,29390,29959,30521,31076,31611,32403,33584,34909,36271,37667,39103,40571,42072,43615,45191,46640,47882,49038,50159,51251,52316,53353,54362,55334,56248,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765,..
"Population, total",SP.POP.TOTL,Andorra,AND,9510,10283,11086,11915,12764,13634,14626,15837,17176,18555,19977,21442,22957,24523,26130,27773,29436,31097,32735,34306,35782,37169,38764,40565,42273,43825,45734,47653,49416,50620,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938,..
"Population, total",SP.POP.TOTL,Angola,AGO,5231654,5301583,5354310,5408320,5464187,5521981,5581386,5641807,5702699,5763685,5852788,5991102,6174262,6388528,6613367,6842947,7074664,7317829,7576734,7847207,8133872,8435607,8751648,9082983,9425917,9779120,10139450,10497858,10861291,11238562,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,55603,56540,57336,58138,59020,59970,60900,61837,62809,63819,64528,64729,64615,64342,64058,63839,63762,63862,64038,64274,64513,64665,64785,64934,64882,64591,64276,63946,63623,63325,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772,..
"Population, total",SP.POP.TOTL,Argentina,ARG,20386045,20726276,21072538,21421705,21769453,22112629,22453893,22799059,23150583,23508711,23878327,24257208,24644328,25046005,25461351,25874107,26282283,26701805,27132158,27568895,28011596,28463959,28924262,29391332,29863093,30336441,30811980,31291762,31780532,32270948,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159,..
"Population, total",SP.POP.TOTL,Armenia,ARM,1863705,1927484,1991689,2056023,2120135,2183635,2246159,2307492,2367319,2424030,2475633,2525345,2577079,2630860,2686445,2743660,2818165,2912827,3012807,3078501,3107415,3135349,3163144,3191539,3224547,3260432,3294847,3328520,3355125,3443100,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500,..
"Population, total",SP.POP.TOTL,Aruba,ABW,54922,55578,56320,57002,57619,58190,58694,58990,59069,59052,58950,58781,58047,58299,58349,58295,58368,58580,58776,59191,59909,60563,61276,62228,62901,61728,59931,59159,59331,60443,62753,65896,69005,73685,77595,79805,83021,86301,88451,89659,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107995,..
"Population, total",SP.POP.TOTL,Australia,AUS,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26018721,26659922,27196812,..
"Population, total",SP.POP.TOTL,Austria,AUT,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,3894500,4045750,4168150,4293550,4439250,4574650,4708150,4832000,4948500,5063300,5172050,5282950,5391450,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202830,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,116317,122197,128493,135087,141528,147952,154874,162267,170089,177981,184982,190857,196055,200791,205342,209886,214501,219157,223761,228230,232526,236614,240614,244698,248863,253154,257536,261935,266448,271178,275945,280731,285927,291339,296509,301461,306268,310904,315368,319614,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,165477,172346,179349,186501,193816,200866,207543,214189,219337,222469,224809,230733,242113,255320,269038,283243,297863,312823,328046,343457,358978,373524,386983,400707,415154,430358,446286,462854,479929,497327,514797,503052,516458,530225,544366,558879,573792,589115,604842,620989,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,51828660,53310348,54881146,56504402,58178374,59902519,61669806,63510929,65408276,67294133,69058894,70276758,71641519,73722294,75839348,77854351,79855318,81867264,83889655,85935072,88016432,90303105,92814507,95335155,97814966,100253825,102635572,104959291,107216008,109433799,111633717,113787109,115952192,118132360,120343179,122600370,124862179,127198069,129622332,132108065,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364,..
"Population, total",SP.POP.TOTL,Barbados,BRB,230893,233148,235224,237557,239958,242417,244996,247091,248540,249444,249387,249168,249658,250322,250777,251175,251442,251626,251551,251269,251524,252270,253095,253992,254920,255820,256618,257279,257763,258109,258582,259373,260267,261027,261620,262039,262284,262392,262436,262517,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467,..
"Population, total",SP.POP.TOTL,Belarus,BLR,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9132629,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11779946,11858610,..
"Population, total",SP.POP.TOTL,Belize,BLZ,91318,93632,96042,98704,101603,104675,107906,111272,114713,118040,120736,122805,124676,126445,128185,130387,133099,135887,138713,141678,145062,148786,152548,156297,160044,163796,167554,171338,175180,179107,183076,187040,190983,194902,199097,204146,210310,217446,225173,233059,240799,248379,256009,263780,271688,279731,287878,296100,304361,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072,..
"Population, total",SP.POP.TOTL,Benin,BEN,2517286,2559223,2604659,2652908,2704003,2757936,2814317,2872997,2934257,2998222,3065057,3134767,3207543,3283496,3362633,3445407,3532196,3623202,3718305,3818528,3925251,4038307,4156596,4278978,4405895,4538012,4675420,4818486,4967341,5121657,5281479,5446932,5617844,5872706,6096506,6226773,6391858,6583365,6789489,7002818,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,42208,43123,44239,45340,46410,47461,48534,49514,50404,51306,52124,52607,52803,52946,53056,53129,53210,53322,53431,53517,53673,53997,54387,54777,55169,55547,55889,56265,56699,57129,57559,57984,58407,58816,59194,59526,59813,60177,60639,61124,61550,61867,62142,62386,62555,62711,62834,63010,63300,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,224084,230602,237636,245156,252987,261200,269820,278852,288311,298214,308528,319211,330264,341705,353538,365791,378490,391639,405243,419200,433404,447836,462485,477460,492784,508392,524324,540557,556986,573586,589287,599784,577774,554673,554497,547989,548784,558697,569435,582579,596863,610794,624409,637663,650544,661865,670799,678641,686351,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,3702323,3778731,3857493,3938913,4022996,4109796,4199550,4292572,4388944,4488232,4590010,4694342,4800978,4910200,5022475,5137539,5256496,5379166,5504123,5630849,5758900,5888109,6018088,6149060,6281868,6416185,6552479,6692162,6835508,6981766,7130142,7280289,7430336,7579195,7727322,7874676,8021736,8167900,8313394,8459806,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3281381,3348035,3407532,3461942,3513441,3562834,3610562,3656223,3698794,3737765,3773247,3809376,3848271,3887376,3926472,3965743,4004552,4042124,4078240,4113300,4148426,4184217,4221100,4258728,4295536,4330364,4362115,4390246,4414404,4433983,4448652,4458343,4234616,3904482,3725412,3715564,3875246,4018227,4089356,4130305,4159771,4179438,4188002,4178523,4140987,4096493,4063272,4013424,3947544,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253,..
"Population, total",SP.POP.TOTL,Botswana,BWA,516165,527942,540186,552966,566266,574664,577866,580933,583966,587066,590334,600481,622407,652408,685448,720380,758508,799574,849239,901742,937485,969996,1009269,1046137,1083660,1121945,1160650,1199167,1235476,1270274,1305696,1341756,1380033,1420115,1460023,1498836,1535914,1571691,1606899,1641997,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139,..
"Population, total",SP.POP.TOTL,Brazil,BRA,72388126,74605447,76865323,79164235,81488595,83817583,86139359,88446124,90741240,93045777,95375651,97739273,100146797,102600976,105089675,107619565,110213349,112875292,115600942,118380821,121207461,124063109,126923155,129790077,132658864,135515595,138336370,141104944,143826357,146502972,149143223,151724256,154275079,156794577,159265006,161735073,164202549,166661659,169159655,171641543,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573,..
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,7950,8034,8070,8114,8168,8257,8413,8646,9000,9533,9933,10095,10235,10367,10494,10606,10709,10800,10886,10965,11130,11479,11921,12370,12820,13269,13726,14194,14680,15180,15704,16187,16593,16989,17406,17840,18287,18756,19238,19730,20241,20796,21430,22134,22881,23665,24493,25366,26288,27218,27675,28710,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985,39471,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,88347,92517,96719,101159,105922,110838,115874,121017,126222,131446,135138,137921,142189,147369,152656,158070,163607,169277,174884,180422,186111,191977,198165,204741,211661,218919,226495,233860,240913,248064,255292,262596,269839,276971,284091,291195,298276,305341,312385,319411,326424,333345,340099,346637,352911,358916,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6441421,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,4778621,4848224,4919672,4993623,5071034,5152833,5237933,5326348,5418644,5513177,5610304,5707999,5807234,5911927,6024904,6147569,6280635,6428734,6590984,6763903,6947900,7140271,7340197,7551129,7772256,7999935,8228847,8457109,8687435,8921175,9159356,9394632,9629275,9871713,10123798,10386722,10655942,10934223,11240664,11574928,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781,..
"Population, total",SP.POP.TOTL,Burundi,BDI,2764258,2835119,2907943,2969841,3055650,3141367,3217960,3300690,3380387,3454590,3530432,3617289,3617128,3611991,3703590,3796612,3882626,3983582,4100338,4203530,4383706,4566014,4681390,4808528,4926465,5034042,5129414,5247787,5365327,5471706,5587052,5703857,5858407,5676843,5713854,6066316,6070506,6070042,6187108,6337155,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,210024,215087,221919,229373,237006,244856,252976,261404,270164,279248,287885,294046,297386,299881,302570,305847,309455,312834,316147,319480,323301,327846,332724,337654,342505,347365,352312,357302,362329,367803,375428,384586,393415,401965,410228,418104,425581,432798,439784,446519,453317,460293,467046,473383,479370,485115,490728,496190,501355,506141,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,5449966,5571168,5697558,5823010,5946178,6072289,6201232,6332944,6467324,6604725,6639182,6620880,6673886,6739726,6783240,6581371,6134991,5668551,5211653,5088808,5199872,5284495,5436432,5636203,5845117,6043783,6285693,6557970,6812014,7073473,7374752,7686850,8113083,8616381,9239162,10018497,10801270,11570982,12058173,12265731,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,5159057,5239273,5338620,5456623,5578257,5704686,5837295,5977318,6125863,6283462,6449793,6624408,6806872,6996660,7193583,7397120,7597962,7796501,8011921,8239641,8512219,8816377,9028678,9215397,9475078,9761730,10060342,10370749,10684968,11002745,11331821,11667180,12006353,12353131,12704903,13058516,13414757,13775214,14144860,14525140,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744,..
"Population, total",SP.POP.TOTL,Canada,CAN,17909356,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,8428,8601,8781,8970,9166,9361,9560,9769,9971,10165,10517,11098,11764,12438,13114,13788,14454,15105,15727,16351,17079,17905,18750,19598,20454,21324,22197,23073,23951,24874,25999,27294,28621,29976,31352,32743,34143,35543,36922,38284,39674,41089,42514,43934,45352,46788,48232,49687,51151,52618,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,1702346,1734580,1768115,1803063,1839583,1877854,1918082,1960444,2005100,2051515,2097505,2141450,2183769,2226008,2269338,2313916,2348566,2372930,2397961,2423794,2450535,2478402,2507375,2537399,2568610,2600932,2634258,2669155,2713965,2783970,2871910,2963191,3058831,3157839,3257954,3348052,3435965,3531700,3628827,3729450,3833416,3919487,4006077,4103086,4192826,4288810,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690,..
"Population, total",SP.POP.TOTL,Chad,TCD,3049838,3111947,3175598,3240905,3307479,3374220,3440903,3508512,3578231,3651113,3727828,3807316,3893252,3985909,4078356,4167234,4251297,4331667,4411366,4505384,4515453,4520959,4738483,4979130,5045145,5096269,5251069,5438309,5625602,5819586,5982833,6205676,6474656,6629146,6783450,7089064,7410108,7670366,7938840,8222705,8512093,8804124,9116192,9487833,9920036,10328092,10706424,11081660,11476296,11893754,12312575,12754997,13210998,13691079,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,110808,111782,112953,114234,115561,116879,118186,119505,120793,122039,123288,124555,125764,126873,127893,128781,129391,129726,129981,130220,130462,131078,132172,133413,134727,136075,137413,138743,140089,141501,143087,144269,144733,144984,145163,145247,145565,146214,146906,147554,148110,148850,149881,150960,152039,153126,154214,155309,156408,157511,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126,..
"Population, total",SP.POP.TOTL,Chile,CHL,8153350,8324802,8497059,8670144,8842525,9012938,9181722,9348939,9514716,9680282,9845344,10009701,10174678,10340362,10505817,10671559,10838251,11005519,11172695,11339779,11508550,11678717,11850214,12026138,12207733,12395274,12588914,12790150,12999424,13215005,13437176,13662491,13884577,14102276,14316256,14527381,14734046,14932434,15127799,15319313,15503635,15683849,15857925,16024752,16187322,16348778,16509195,16671581,16838988,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771,..
"Population, total",SP.POP.TOTL,China,CHN,667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000,..
"Population, total",SP.POP.TOTL,Colombia,COL,15606209,16095203,16599029,17113823,17637411,18169050,18702688,19235618,19766796,20291942,20811782,21319096,21819563,22325374,22833469,23344644,23858810,24393494,24950337,25515626,26104498,26713267,27338331,27988173,28642690,29268470,29879112,30499467,31130524,31776279,32440069,33098372,33760571,34441473,35127410,35804662,36462745,37121149,37792165,38454863,39089934,39709262,40324680,40937429,41543171,42128977,42691084,43235374,43758808,44271541,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363,..
"Population, total",SP.POP.TOTL,Comoros,COM,197700,201201,204702,208185,211644,214967,218663,223859,230244,237001,244185,251865,260077,268820,278075,287692,297538,307579,317688,327791,337721,347382,357139,367233,377637,388352,399318,410439,421687,433103,444596,455556,465113,473682,482142,490586,499107,507777,516597,525886,536080,547220,558923,569798,580704,592677,604753,616927,629307,641947,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,15264846,15662374,16075724,16507599,16955327,17427802,17931929,18462782,19012189,19570445,20137436,20695569,21251160,21827665,22418878,23021101,23624031,24229061,24992689,25886782,26711099,27500515,28338190,29250963,30245081,31264816,32265196,33298904,34382752,35486866,36684063,37925817,39228910,40656336,42626876,44433704,45296124,46029902,47297600,48912971,50507442,52132646,53750524,55343867,56997741,58775724,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,1056732,1084389,1113175,1143263,1174816,1207880,1242534,1278691,1316519,1356182,1397638,1441039,1486468,1533680,1582301,1627032,1667225,1707568,1748089,1788524,1828985,1869759,1910430,1950321,1999528,2059311,2120602,2183473,2247653,2313558,2380560,2449229,2519465,2595124,2673144,2749461,2826785,2887862,2952061,3032874,3151345,3272537,3350771,3445753,3565554,3696393,3837409,3980430,4113517,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,1327496,1377920,1429445,1481604,1533960,1586208,1638116,1689523,1739731,1789276,1838949,1888539,1938248,1988343,2039643,2092719,2147774,2205025,2264510,2326490,2390633,2456637,2524806,2595153,2667595,2741894,2817216,2892699,2968103,3043827,3121706,3202176,3284258,3367434,3451122,3535176,3619013,3701711,3782838,3862101,3937739,4008947,4075705,4138784,4200078,4261240,4321340,4380248,4440056,4499791,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,3673666,3810151,3956939,4112061,4273952,4442377,4617519,4799744,4990021,5192221,5411567,5650868,5909716,6184944,6474057,6776297,7057958,7321950,7603130,7902267,8220714,8556596,8907936,9272744,9650516,10040483,10440917,10851475,11275189,11719771,12189778,12683870,13200310,13735951,14287201,14855565,15442312,16047170,16663948,17215935,17699004,18178913,18654771,19125542,19595000,20068458,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4140181,4167292,4196712,4225675,4252876,4280923,4310701,4338683,4365628,4391490,4412252,4431275,4450564,4470161,4490660,4512082,4535934,4559571,4581085,4594778,4599782,4611509,4634234,4658254,4680285,4701417,4721446,4739745,4755207,4767260,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866200,..
